family,year,cumulative
YPONOMEUTIDAE,1992,393
YPONOMEUTIDAE,1993,475
YPONOMEUTIDAE,1994,1435
YPONOMEUTIDAE,1995,4319
YPONOMEUTIDAE,1996,5049
YPONOMEUTIDAE,1997,7784
YPONOMEUTIDAE,1998,7963
YPONOMEUTIDAE,1999,8334
YPONOMEUTIDAE,2000,14150
YPONOMEUTIDAE,2001,17641
YPONOMEUTIDAE,2002,19171
YPONOMEUTIDAE,2003,22393
YPONOMEUTIDAE,2004,27089
YPONOMEUTIDAE,2005,33780
YPONOMEUTIDAE,2006,48586
YPONOMEUTIDAE,2007,49010
YPONOMEUTIDAE,2008,50653
YPONOMEUTIDAE,2009,63132
NOCTUIDAE,1992,2077
NOCTUIDAE,1993,5831
NOCTUIDAE,1994,8499
NOCTUIDAE,1995,11783
NOCTUIDAE,1996,15619
NOCTUIDAE,1997,20857
NOCTUIDAE,1998,24241
NOCTUIDAE,1999,26757
NOCTUIDAE,2000,30730
NOCTUIDAE,2001,34065
NOCTUIDAE,2002,38383
NOCTUIDAE,2003,42420
NOCTUIDAE,2004,45424
NOCTUIDAE,2005,48824
NOCTUIDAE,2006,52576
NOCTUIDAE,2007,55515
NOCTUIDAE,2008,57857
NOCTUIDAE,2009,60568
TORTRICIDAE,1992,1795
TORTRICIDAE,1993,2528
TORTRICIDAE,1994,4354
TORTRICIDAE,1995,8189
TORTRICIDAE,1996,10165
TORTRICIDAE,1997,13690
TORTRICIDAE,1998,15159
TORTRICIDAE,1999,16571
TORTRICIDAE,2000,18120
TORTRICIDAE,2001,19743
TORTRICIDAE,2002,21367
TORTRICIDAE,2003,23546
TORTRICIDAE,2004,25013
TORTRICIDAE,2005,26689
TORTRICIDAE,2006,29039
TORTRICIDAE,2007,30058
TORTRICIDAE,2008,31132
TORTRICIDAE,2009,32209
